2020-09-04 07:39:16.791  INFO 5160 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-09-04 07:39:25.768  INFO 5160 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=employee-service, profiles=[default], label=null, version=3891cb6d7a884832829f31cd5038f7012fa31843, state=null
2020-09-04 07:39:25.768  INFO 5160 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/PRATHYUSHA0805/PrathyushaGitRepoMVC/application.properties'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/PRATHYUSHA0805/PrathyushaGitRepoMVC/application.yml'}]
2020-09-04 07:39:25.888  INFO 5160 --- [main] i.p.e.EmployeeServiceApplication         : No active profile set, falling back to default profiles: default
2020-09-04 07:39:27.084  INFO 5160 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-09-04 07:39:27.373  INFO 5160 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 266ms. Found 1 JPA repository interfaces.
2020-09-04 07:39:27.547  WARN 5160 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-09-04 07:39:27.807  INFO 5160 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2ff0694e-8c1d-38a5-ba1b-4953807ed300
2020-09-04 07:39:28.555  INFO 5160 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8087 (http)
2020-09-04 07:39:28.568  INFO 5160 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-09-04 07:39:28.568  INFO 5160 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-04 07:39:28.757  INFO 5160 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-09-04 07:39:28.757  INFO 5160 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2824 ms
2020-09-04 07:39:28.887  WARN 5160 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-09-04 07:39:28.887  INFO 5160 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-04 07:39:28.913  INFO 5160 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@76536c53
2020-09-04 07:39:29.171  INFO 5160 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-09-04 07:39:29.241  INFO 5160 --- [task-1] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-09-04 07:39:29.293  WARN 5160 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-09-04 07:39:29.293  INFO 5160 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-04 07:39:29.384  INFO 5160 --- [task-1] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.20.Final
2020-09-04 07:39:29.396  WARN 5160 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-04 07:39:29.715  INFO 5160 --- [task-1] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-09-04 07:39:29.972  INFO 5160 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-09-04 07:39:29.980  WARN 5160 --- [task-1] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-09-04 07:39:30.308  INFO 5160 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-09-04 07:39:30.346  INFO 5160 --- [task-1] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-09-04 07:39:31.759  INFO 5160 --- [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-09-04 07:39:31.768  INFO 5160 --- [task-1] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-04 07:39:32.274  WARN 5160 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-09-04 07:39:32.331  INFO 5160 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-09-04 07:39:32.380  INFO 5160 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-09-04 07:39:32.490  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-09-04 07:39:32.953  INFO 5160 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-09-04 07:39:32.955  INFO 5160 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-09-04 07:39:33.143  INFO 5160 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-09-04 07:39:33.143  INFO 5160 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-09-04 07:39:33.383  INFO 5160 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-09-04 07:39:33.578  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-09-04 07:39:33.766  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-09-04 07:39:33.770  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-09-04 07:39:33.774  INFO 5160 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-09-04 07:39:33.780  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1599185373778 with initial instances count: 1
2020-09-04 07:39:33.783  INFO 5160 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application EMPLOYEE-SERVICE with eureka with status UP
2020-09-04 07:39:33.784  INFO 5160 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1599185373784, current=UP, previous=STARTING]
2020-09-04 07:39:33.789  INFO 5160 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_EMPLOYEE-SERVICE/DESKTOP-KLJ2H36:employee-service:8087: registering service...
2020-09-04 07:39:33.833  INFO 5160 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8087 (http) with context path ''
2020-09-04 07:39:33.837  INFO 5160 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8087
2020-09-04 07:39:33.852  INFO 5160 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_EMPLOYEE-SERVICE/DESKTOP-KLJ2H36:employee-service:8087 - registration status: 204
2020-09-04 07:39:34.111  INFO 5160 --- [main] DeferredRepositoryInitializationListener : Triggering deferred initialization of Spring Data repositories…
2020-09-04 07:39:34.489  INFO 5160 --- [main] DeferredRepositoryInitializationListener : Spring Data repositories initialized!
2020-09-04 07:39:34.509  INFO 5160 --- [main] i.p.e.EmployeeServiceApplication         : Started EmployeeServiceApplication in 19.485 seconds (JVM running for 20.179)
2020-09-04 07:42:45.106  INFO 5160 --- [http-nio-8087-exec-10] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-04 07:42:45.106  INFO 5160 --- [http-nio-8087-exec-10] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-09-04 07:42:45.577  INFO 5160 --- [http-nio-8087-exec-10] o.s.web.servlet.DispatcherServlet        : Completed initialization in 471 ms
2020-09-04 07:44:33.587  INFO 5160 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-04 07:49:33.590  INFO 5160 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-04 07:54:33.591  INFO 5160 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-04 07:59:33.594  INFO 5160 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-04 08:04:33.596  INFO 5160 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
